# HPA 7y Paper, upper limit
# nSources, flux_per_source
1.0724872940578, 2.123050226576288e-12
1.2398292462158491, 1.9222502167940326e-12
1.433281837732725, 1.7541807639948847e-12
1.6569191545081947, 1.6234337425069475e-12
1.9154509687494572, 1.4945121875134497e-12
2.2230954840861434, 1.3712469063887586e-12
2.5598262093986106, 1.236427213605631e-12
2.9592400928445963, 1.1450641198147534e-12
3.420975179856539, 1.066903265770182e-12
3.954755550079344, 9.497492035539021e-13
4.571822547259539, 8.928915519597585e-13
5.285171520452469, 8.226969559617574e-13
6.109825504348502, 7.54090316227643e-13
7.063151602389541, 6.797230791368428e-13
8.165226735662332, 6.116921349321816e-13
9.43926046019165, 5.837561741635065e-13
10.91208375710954, 5.37165655549042e-13
12.614714089556571, 4.69742114217841e-13
14.58300862633854, 4.451741105000796e-13
16.85841938914209, 4.043370874252486e-13
19.48886622660932, 3.835385993608344e-13
22.52974599998978, 3.4900509489212356e-13
26.045099233685153, 3.2653757826943223e-13
30.108958800193072, 3.040113165597073e-13
34.80690904257519, 2.845553464085928e-13
40.23788816936219, 2.64886983989904e-13
46.51627188009308, 2.4629340070721367e-13
53.77428210236601, 2.286481128327423e-13
62.16477156808326, 2.159960317844994e-13
71.86444287169648, 2.007647284895792e-13
83.07756980339164, 1.8442152069814409e-13
96.04029932799607, 1.7385479322832225e-13
111.02562480871373, 1.6291661587436895e-13
127.5060191173718, 1.617772620746348e-13
148.37566136488056, 1.4084767875752245e-13
171.5269592526135, 1.3147256262097454e-13
198.29059213488756, 1.2224392478584843e-13
229.23019856778137, 1.1373697011598891e-13
264.99736255605933, 1.0678911929959156e-13
306.34533582582503, 9.762962624094408e-14
354.1449012058918, 9.018860192545512e-14
409.40271119857545, 8.234587539123298e-14
473.2824879477771, 7.726538767477618e-14
546.4088240833647, 7.188475231746054e-14
632.4990495001124, 6.441179174574218e-14
731.1889139562177, 5.888707758703643e-14
845.2775198872106, 5.3976345284294523e-14
977.1675581906544, 4.8772864740336044e-14
1129.6366155670353, 4.4531616597192545e-14
1305.8956701269997, 3.966747600447909e-14
1509.6567141641501, 3.551880756138102e-14
1745.2109282200604, 3.196979782194229e-14
1952.11925200059, 2.802627319135663e-14
