# Theo's Multipole Analysis Sensitivity
# nSources, flux_per_source
4.575269352379525, 1.1920774787920212e-12
4.980671270482823, 1.1000614659709653e-12
5.448789118901897, 1.0169969130916907e-12
5.854126749082942, 9.626253034892773e-13
6.372844671485426, 9.093896351773201e-13
6.918551076987672, 8.605553802818094e-13
7.510986297698397, 8.135038058215824e-13
8.15415171998355, 7.694216167514648e-13
8.876668471061253, 7.275136749973877e-13
9.663205426019706, 6.87584239211513e-13
10.490665276446894, 6.503253865575346e-13
11.48293827404431, 6.08814208301945e-13
12.218351821166406, 5.889348099484227e-13
13.048424613868223, 5.615092634845653e-13
13.533703782169852, 5.476259483367221e-13
14.652410959153599, 5.198784632286821e-13
15.90709625726517, 4.912002301767485e-13
17.26922020159584, 4.645830450290159e-13
18.79939787085899, 4.3921394983025936e-13
20.546278235303426, 4.133644079051704e-13
21.881160227536867, 3.966269835240492e-13
23.420318831743863, 3.8524816802669417e-13
24.38576384031545, 3.7602020964144653e-13
26.473915712315087, 3.6063243404917237e-13
28.819695902042234, 3.4450073278766486e-13
31.373329163385673, 3.3001347870444675e-13
34.24689577940509, 3.1520495542052893e-13
37.38366000042515, 3.018384370507318e-13
40.58482114195271, 2.8844295194210236e-13
44.30209279467676, 2.7592647893285547e-13
48.35983923948656, 2.635449734744495e-13
52.78924546765416, 2.5236913797873474e-13
57.466753985635236, 2.4129352173675046e-13
62.55872355040644, 2.307039763199152e-13
68.28864333670157, 2.208068575616084e-13
74.54338170774486, 2.108987062209842e-13
83.66302239745636, 1.9996601234050856e-13
88.58106737374167, 1.922970415412117e-13
96.42998988630934, 1.832896080289982e-13
104.97438363708604, 1.7467834708782687e-13
114.27587240212513, 1.6652073606659768e-13
124.74270332851842, 1.5872069688501058e-13
135.4244154610333, 1.5136408191023415e-13
147.82829766416668, 1.441252293529195e-13
159.17366354364992, 1.3801995599367607e-13
175.18624342085613, 1.2979620249416585e-13
191.7564583992449, 1.2226869475651512e-13
200.345827959595, 1.201316754834909e-13
