# HPA 7y wiki, discovery potential
# nSources, flux_per_source
1.0410522840875172, 3.811948405861831e-12
1.2164670955605836, 3.5637875960933487e-12
1.4379297177536787, 3.29918973275528e-12
1.6997104818904651, 3.059855482954261e-12
1.997595319106616, 2.8275124760001435e-12
2.3749230314503285, 2.6453494776759244e-12
2.791143069016737, 2.4613858856949872e-12
3.2803082578060008, 2.2933744201870574e-12
3.945173917757844, 2.120408401712451e-12
4.583415655032841, 2.004684174797734e-12
5.449181472209145, 1.8833034798647847e-12
6.404184428950864, 1.7717637753201632e-12
7.79156673650879, 1.6506819834128038e-12
8.94825634131209, 1.572394427031163e-12
10.638501138362592, 1.4812660097290434e-12
12.502964653525648, 1.3993114515805863e-12
15.211567465447672, 1.2970024869543149e-12
17.22522510914656, 1.2493363497433544e-12
20.769671013554817, 1.1666602822027464e-12
24.409685083494814, 1.0975641728544058e-12
29.50802229774349, 1.023200015333665e-12
33.521431793828775, 9.77733897608043e-13
40.548873229494596, 9.13821432382851e-13
47.655315550090194, 8.608856249785398e-13
57.2317020733599, 8.013883857227028e-13
65.44428592017795, 7.609988586240967e-13
79.16404256516968, 7.118423745466645e-13
93.03803356784319, 6.687606928220846e-13
110.61207773551371, 6.256756652581436e-13
129.24994737875258, 5.844847556269184e-13
152.7804089664763, 5.499551154878278e-13
181.63924821928327, 5.152338389092569e-13
213.47265659344666, 4.813897637044525e-13
253.79571321552757, 4.4605162441009293e-13
