# HPA 7y Paper, discovery potential
# nSources, flux_per_source
1.0724872940578, 2.7521157009069386e-12
1.2398292462158491, 2.5419175477493017e-12
1.433281837732725, 2.357353781890398e-12
1.6569191545081947, 2.180515701513007e-12
1.9154509687494572, 2.0143236245790983e-12
2.214321926148685, 1.8656412080780366e-12
2.5598262093986106, 1.7346836402296289e-12
2.9592400928445963, 1.5920920796622481e-12
3.3985030437903245, 1.479182238113989e-12
3.954755550079344, 1.3728517573615794e-12
4.632483543908972, 1.2437333659787435e-12
5.355297551937666, 1.1414980779574912e-12
6.190893415584489, 1.0503932814631973e-12
7.138026304470964, 9.632991541279025e-13
8.230059234271122, 9.01988986931111e-13
9.564504811045126, 8.226969559617574e-13
11.056870189519337, 7.629625052958044e-13
12.78209178657127, 7.057284889708358e-13
14.776502540040696, 6.502477017925315e-13
17.082104475671198, 6.122741340416635e-13
19.747453264197272, 5.695179246245422e-13
22.82868079732506, 5.302296139606865e-13
26.3906773179211, 4.949364216711905e-13
30.508457999914047, 4.56620091071546e-13
35.36184225265387, 4.34447706944048e-13
40.771782557035905, 4.062156928527141e-13
47.13347068505412, 3.8214544359704044e-13
54.487783449524095, 3.5810253652815074e-13
63.82537605110178, 3.347011905496153e-13
74.7631555216096, 3.12017006253274e-13
86.4285733440866, 2.942924400790087e-13
99.91416544925062, 2.757768567940293e-13
115.50393661685081, 2.574205723098018e-13
132.5519796178593, 2.4629340070721367e-13
154.36051826143316, 2.2930280002011193e-13
178.44564319029286, 2.1571549739094233e-13
206.28880967908202, 2.031972196884486e-13
238.47639111834278, 1.9016563895313822e-13
275.68625370082594, 1.8147329269437854e-13
318.70203219353516, 1.6895432043328682e-13
368.4296331819058, 1.5935663193256208e-13
425.91631334225025, 1.4913666525230748e-13
492.3727345283555, 1.3975364356958256e-13
570.7009829191826, 1.320547951231697e-13
658.011429789727, 1.2256208388766284e-13
760.6820328014469, 1.144040951971833e-13
879.3724984562194, 1.0651190526077796e-13
1030.0709048838237, 9.890673926902365e-14
1190.7945582450518, 9.089462648078898e-14
1376.5961869449714, 8.320650051528365e-14
1591.3887486219614, 7.64662129295264e-14
1839.6957461148397, 6.918449854651685e-14
2004.2661174919015, 6.563712556046577e-14
